id,detalle_id,sucursal,fecha,periodo,producto,tipo,valor,token_original,multiplicador,posicion
199,178,Principal,2023-12-31,2023-12,Refresco 600 ml.,VARIANTE,Escuis Manzana,Escuis Manzana,1,1
200,179,Principal,2023-12-30,2023-12,Tacos de Harina,GUISADO,Huevo Rojo,Huevo Rojo,1,1
201,180,Principal,2023-12-30,2023-12,Enchiladas Rojas,GUISADO,Huevo Verde,Huevo Verde,3,1
202,180,Principal,2023-12-30,2023-12,Enchiladas Rojas,GUISADO,Huevo Cascabel,Huevo Cascabel,3,2
203,180,Principal,2023-12-30,2023-12,Enchiladas Rojas,EXTRA,Huevo Revuelto (2 pzas.),Huevo Revuelto (2 pzas.),1,3
204,181,Principal,2023-12-30,2023-12,Enchiladas Rojas,EXTRA,Huevo Revuelto (p/relleno),Huevo Revuelto (p/relleno),1,1
205,182,Principal,2023-12-30,2023-12,Migada Guisado Normal,GUISADO,Huevo Rojo,Huevo Rojo,1,1
206,183,Principal,2023-12-30,2023-12,1/2 Entomatadas,GUISADO,Molida,Molida,3,1
207,183,Principal,2023-12-30,2023-12,1/2 Entomatadas,EXTRA,Relleno de Guisados,Relleno de Guisados,1,2
208,184,Principal,2023-12-30,2023-12,Enchiladas Rojas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
209,184,Principal,2023-12-30,2023-12,Enchiladas Rojas,GUISADO,Huevo Verde,Huevo Verde,6,2
210,184,Principal,2023-12-30,2023-12,Enchiladas Rojas,EXTRA,Relleno de Guisados,Relleno de Guisados,1,3
211,185,Principal,2023-12-30,2023-12,Tacos de Maiz,GUISADO,Huevo Cascabel,Huevo Cascabel,1,1
212,186,Principal,2023-12-30,2023-12,Tacos de Maiz,GUISADO,Bistec con Papas,Bistec con Papas,1,1
213,187,Principal,2023-12-30,2023-12,1/2 Entomatadas,EXTRA,Huevo Revuelto (2 pzas.),Huevo Revuelto (2 pzas.),1,1
214,189,Principal,2023-12-30,2023-12,Migada Guisado de Carne,GUISADO,Deshebrada,Deshebrada,1,1
215,190,Principal,2023-12-30,2023-12,Refresco 355 ml.,VARIANTE,Coca Cola,Coca Cola,1,1
216,191,Principal,2023-12-30,2023-12,Tacos de Maiz,GUISADO,Deshebrada,Deshebrada,1,1
217,192,Principal,2023-12-30,2023-12,Tacos de Maiz,GUISADO,Pollo con Mole,Pollo con Mole,1,1
218,193,Principal,2023-12-30,2023-12,1/2 Entomatadas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
219,193,Principal,2023-12-30,2023-12,1/2 Entomatadas,EXTRA,Huevo Revuelto (p/relleno),Huevo Revuelto (p/relleno),1,2
220,194,Principal,2023-12-30,2023-12,Tacos de Harina,GUISADO,Molida,Molida,1,1
221,195,Principal,2023-12-30,2023-12,Quesadillas (4 pzas.),PETICION,Sin Verduras,Sin Verduras,1,1
222,196,Principal,2023-12-30,2023-12,Enchiladas Rojas,PETICION,Sin Tomate,Sin Tomate,1,1
223,196,Principal,2023-12-30,2023-12,Enchiladas Rojas,EXTRA,Huevo Estrellado Cocido (2 pzas.),Huevo Estrellado Cocido (2 pzas.),1,2
224,199,Principal,2023-12-30,2023-12,Tacos de Maiz,GUISADO,Cochinita,Cochinita,1,1
225,199,Principal,2023-12-30,2023-12,Tacos de Maiz,PETICION,Escurrida,Escurrido,1,2
226,200,Principal,2023-12-30,2023-12,Refresco 600 ml.,VARIANTE,Valle Frut,Valle Frut,1,1
227,201,Principal,2023-12-30,2023-12,Tacos de Maiz,GUISADO,Huevo Rojo,Huevo Rojo,1,1
228,202,Principal,2023-12-30,2023-12,Tacos de Maiz,GUISADO,Requesón Picosito,Requesón Picosito,1,1
229,203,Principal,2023-12-30,2023-12,Tacos de Harina,GUISADO,Barbacoa,Barbacoa,1,1
230,204,Principal,2023-12-30,2023-12,Tacos de Harina,GUISADO,Nopal,Nopal,1,1
231,205,Principal,2023-12-30,2023-12,Bocoles,GUISADO,Queso,Queso,1,1
232,206,Principal,2023-12-30,2023-12,Tacos de Harina,GUISADO,Cochinita,Cochinita,1,1
233,207,Principal,2023-12-30,2023-12,Migada Guisado Normal,GUISADO,Papa,Papa,1,1
234,207,Principal,2023-12-30,2023-12,Migada Guisado Normal,GUISADO,Frijoles con Queso,Frijoles con Queso,1,2
235,208,Principal,2023-12-30,2023-12,Gorditas,GUISADO,Asado,Asado,1,1
236,209,Principal,2023-12-30,2023-12,Bocoles,GUISADO,Huevo Verde,Huevo Verde,1,1
237,209,Principal,2023-12-30,2023-12,Bocoles,PETICION,Doradita,Doradita,1,2
238,211,Principal,2023-12-30,2023-12,1/2 Encremadas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
239,212,Principal,2023-12-30,2023-12,1/2 Enmoladas,EXTRA,Huevo Estrellado Medio (2 pzas.),Huevo Estrellado Medio (2 pzas.),1,1
240,213,Principal,2023-12-30,2023-12,Bocoles,GUISADO,Papa con Huevo,Papa con Huevo,1,1
