periodo,tipo,modificador,veces,renglones,unidades_afectadas
2025-11,VARIANTE,Cocido,2,2,2.00
2025-11,VARIANTE,Crema,17,17,18.00
2025-11,VARIANTE,Delaware,9,9,13.00
2025-11,VARIANTE,Diluido con Agua,3,3,6.00
2025-11,VARIANTE,Escuis Fresa,8,8,8.00
2025-11,VARIANTE,Escuis Hierro,4,4,4.00
2025-11,VARIANTE,Escuis Manzana,15,15,20.00
2025-11,VARIANTE,Escuis Piña,9,9,10.00
2025-11,VARIANTE,Fanta,5,5,5.00
2025-11,VARIANTE,Fresca,1,1,1.00
2025-11,VARIANTE,Leche Aparte,12,12,41.00
2025-11,VARIANTE,Lechera,14,14,15.00
2025-11,VARIANTE,Lechero,22,22,49.00
2025-11,VARIANTE,Mantequilla,31,31,154.00
2025-11,VARIANTE,Medio,3,3,3.00
2025-11,VARIANTE,Mermelada de Fresa,1,1,1.00
2025-11,VARIANTE,Migada Delgada,9,9,9.00
2025-11,VARIANTE,Natural,7,7,7.00
2025-11,VARIANTE,Naturales,11,11,11.00
2025-11,VARIANTE,Normal,60,60,1249.00
2025-11,VARIANTE,Pan Grande Pieza,28,28,133.00
2025-11,VARIANTE,Poca leche,18,18,37.00
2025-11,VARIANTE,Sprite,3,3,3.00
2025-11,VARIANTE,Tierno,8,8,8.00
2025-11,VARIANTE,Valle Frut,10,10,12.00
2025-12,EXTRA,Bistec (1 pza.),135,135,165.00
2025-12,EXTRA,Doble Guiso,13,13,19.00
2025-12,EXTRA,Frijoles,34,34,57.00
2025-12,EXTRA,Huevo Estrellado Ciego (2 pzas.),5,5,5.00
2025-12,EXTRA,Huevo Estrellado Cocido (2 pzas.),43,43,45.00
2025-12,EXTRA,Huevo Estrellado Medio (2 pzas.),60,60,66.00
2025-12,EXTRA,Huevo Estrellado Tierno (2 pzas.),39,39,43.00
2025-12,EXTRA,Huevo Revuelto (2 pzas.),90,90,101.00
2025-12,EXTRA,Huevo Revuelto (p/relleno),35,35,37.00
2025-12,EXTRA,Queso,69,49,61.00
2025-12,EXTRA,Queso Extra Pieza,26,11,11.00
2025-12,EXTRA,Relleno de Guisados,77,77,80.00
2025-12,PETICION,Doradita,16,16,25.00
2025-12,PETICION,En dos platos,15,15,16.00
2025-12,PETICION,Escurrida,35,35,65.00
2025-12,PETICION,Frijoles Aparte,4,4,4.00
2025-12,PETICION,Poca Lechuga,44,44,45.00
2025-12,PETICION,Poco Frijol,7,7,7.00
2025-12,PETICION,Poco Guiso,1,1,1.00
2025-12,PETICION,Sin Aguacate,34,34,35.00
2025-12,PETICION,Sin Crema,152,152,160.00
2025-12,PETICION,Sin Frijoles,13,13,13.00
2025-12,PETICION,Sin Lechuga,68,68,68.00
2025-12,PETICION,Sin Queso,14,14,14.00
2025-12,PETICION,Sin Tomate,69,69,71.00
2025-12,PETICION,Sin Verduras,48,48,50.00
2025-12,PETICION,Verdura Aparte,5,5,5.00
2025-12,VARIANTE,Bocol delgado,3,3,5.00
2025-12,VARIANTE,Ciego,1,1,1.00
2025-12,VARIANTE,Coca Cola,59,59,311.00
2025-12,VARIANTE,Coca Cola Sin Azúcar,30,30,133.00
2025-12,VARIANTE,Coca Light,23,23,60.00
2025-12,VARIANTE,Cocido,4,4,4.00
2025-12,VARIANTE,Crema,16,16,20.00
2025-12,VARIANTE,Delaware,5,5,5.00
2025-12,VARIANTE,Diluido con Agua,2,2,2.00
2025-12,VARIANTE,Escuis Fresa,6,6,9.00
