periodo,guisado,unidades_atribuidas,unidades_presencia,renglones
2024-05,Queso,58.00000000000000000000,58.00,35
2026-05,Asado,317.91666666666666666663,338.00,125
2025-09,Papa,149.33333333333333333333,161.00,69
2025-01,Papa,181.83333333333333333332,186.00,58
2025-09,Molida,596.33333333333333333330,636.00,188
2025-07,Bistec con Papas,351.24999999999999999997,373.00,126
2025-08,Requesón Picosito,207.49999999999999999998,222.00,99
2024-02,Requeson,135.00000000000000000000,139.00,47
2026-08,Chicharrón,1284.86666666666666666661,1377.00,313
2024-08,Huevo Cascabel,429.94999999999999999998,460.00,147
2025-04,Asado,323.91666666666666666666,342.00,124
2026-07,Queso,129.00000000000000000000,129.00,72
2026-04,Frijoles,65.00000000000000000000,65.00,36
2025-01,Requeson,120.91666666666666666665,127.00,55
2025-10,Huevo con Chorizo,269.24999999999999999999,280.00,120
2025-04,Huevo Cascabel,414.83333333333333333332,428.00,121
2023-08,Deshebrada,447.50000000000000000000,454.00,63
2024-11,Huevo con Nopal,173.58333333333333333333,179.00,71
2025-02,Huevo Cascabel,385.11666666666666666666,397.00,105
2026-05,Molida,518.49999999999999999996,550.00,167
2025-06,Requesón Picosito,231.58333333333333333333,240.00,91
2024-07,Papa con Huevo,251.74999999999999999999,264.00,107
2024-11,Bistec con Papas,299.66666666666666666664,327.00,135
2026-02,Bistec con Papas,300.49999999999999999997,321.00,120
2025-01,Barbacoa,450.58333333333333333332,469.00,93
2026-01,Nopal,77.00000000000000000000,79.00,43
2025-05,Papa con Huevo,302.16666666666666666666,308.00,104
2026-08,Papa con Chorizo,355.64999999999999999999,377.00,137
2025-08,Cochinita,709.24999999999999999999,752.00,198
2025-08,Nopal,126.50000000000000000000,127.00,58
2025-02,Frijoles,102.00000000000000000000,102.00,35
2025-09,Frijoles,66.00000000000000000000,66.00,32
2025-05,Papa,207.66666666666666666666,215.00,73
2024-06,Requesón Picosito,189.08333333333333333333,194.00,83
2024-07,Huevo con Nopal,145.50000000000000000000,151.00,76
2025-10,Pollo con Mole,312.58333333333333333332,326.00,112
2024-01,Frijoles,97.50000000000000000000,98.00,34
2023-11,Nopal,109.50000000000000000000,112.00,46
2024-12,Huevo con Nopal,121.83333333333333333333,127.00,63
2025-07,Pollo con Mole,289.08333333333333333331,300.00,98
2023-11,Huevo Rojo,717.33333333333333333333,740.00,147
2025-10,Queso,73.00000000000000000000,73.00,42
2023-12,Requeson,134.33333333333333333333,138.00,66
2025-07,Molida,582.58333333333333333329,616.00,176
2025-07,Nopal,91.00000000000000000000,93.00,48
2025-12,Chicharrón,1385.74999999999999999994,1475.00,284
2023-12,Molida,585.58333333333333333332,615.00,165
2023-09,Molida,433.91666666666666666664,460.00,142
2025-03,Deshebrada,1642.16666666666666666661,1746.00,358
2025-08,Pollo con Mole,311.08333333333333333331,325.00,114
2024-01,Frijoles con Queso,483.58333333333333333333,486.00,78
2026-09,Huevo Cascabel,53.33333333333333333333,55.00,21
2024-03,Huevo con Chorizo,210.11666666666666666666,223.00,99
2024-03,Huevo con Nopal,131.78333333333333333333,136.00,65
2026-08,Huevo Verde,1298.19999999999999999998,1358.00,260
2026-07,Molida,599.24999999999999999996,637.00,184
2026-04,Barbacoa,492.41666666666666666664,515.00,109
2026-01,Pollo con Mole,257.66666666666666666666,270.00,96
2026-03,Papa con Huevo,256.58333333333333333333,271.00,102
2024-04,Molida,496.16666666666666666665,526.00,149
2025-04,Cochinita,727.83333333333333333330,763.00,192
2026-03,Frijoles,108.50000000000000000000,109.00,40
2025-08,Deshebrada,2012.94999999999999999992,2120.00,388
2025-01,Huevo con Nopal,166.58333333333333333333,172.00,75
2024-12,Molida,578.33333333333333333325,622.00,184
2023-08,Barbacoa,51.33333333333333333333,53.00,19
2024-12,Papa con Huevo,340.41666666666666666666,348.00,91
2024-03,Asado,268.61666666666666666666,293.00,124
2023-08,Papa con Chorizo,139.50000000000000000000,145.00,40
2025-05,Frijoles con Queso,576.33333333333333333333,584.00,104
2026-06,Frijoles,109.00000000000000000000,109.00,33
2026-09,Frijoles,13.00000000000000000000,13.00,4
2025-12,Barbacoa,432.16666666666666666665,450.00,100
2025-02,Papa con Chorizo,347.99999999999999999999,369.00,127
2026-07,Huevo Verde,1297.66666666666666666663,1356.00,247
2024-06,Huevo Cascabel,440.66666666666666666664,462.00,132
2024-06,Huevo con Chorizo,316.24999999999999999998,333.00,129
2023-09,Asado,240.45000000000000000000,250.00,102
2026-05,Huevo con Chorizo,329.83333333333333333331,347.00,134
2024-07,Deshebrada,1813.24999999999999999996,1922.00,411
2024-12,Asado,362.74999999999999999999,388.00,144
2025-06,Huevo con Chorizo,330.83333333333333333332,349.00,144
2024-11,Nopal,117.00000000000000000000,119.00,53
2024-08,Papa con Chorizo,454.24999999999999999999,486.00,157
2024-02,Barbacoa,325.25000000000000000000,331.00,68
2026-08,Bistec con Papas,378.73333333333333333331,405.00,160
2023-08,Pollo con Mole,80.50000000000000000000,81.00,28
2026-04,Huevo Verde,1310.86666666666666666664,1384.00,256
2024-02,Requesón Picosito,130.75000000000000000000,137.00,67
2026-01,Queso,113.00000000000000000000,113.00,51
2024-10,Cochinita,604.58333333333333333331,642.00,200
2024-05,Huevo Verde,1226.78333333333333333326,1303.00,273
2024-09,Huevo con Nopal,151.33333333333333333333,157.00,73
2026-04,Huevo Cascabel,361.94999999999999999999,377.00,120
2024-01,Nopal,103.50000000000000000000,104.00,50
2023-12,Huevo Verde,1259.33333333333333333331,1320.00,241
2024-05,Molida,637.58333333333333333329,692.00,206
2026-09,Asado,37.83333333333333333332,44.00,22
2025-02,Molida,557.16666666666666666661,591.00,163
2026-05,Pollo con Mole,219.49999999999999999999,235.00,104
2024-04,Queso,72.00000000000000000000,72.00,38
2024-12,Papa con Chorizo,433.49999999999999999997,465.00,152
2024-03,Papa,196.49999999999999999999,205.00,69
2024-03,Barbacoa,468.33333333333333333333,487.00,106
2025-02,Huevo Rojo,654.74999999999999999999,674.00,133
2024-01,Requesón Picosito,132.25000000000000000000,137.00,68
2024-05,Papa con Chorizo,407.08333333333333333331,437.00,148
2025-09,Papa con Huevo,270.00000000000000000000,275.00,92
2025-05,Nopal,112.00000000000000000000,114.00,44
2025-04,Frijoles con Queso,646.08333333333333333333,661.00,113
2025-05,Requeson,162.83333333333333333333,171.00,69
2024-05,Nopal,127.00000000000000000000,130.00,52
2024-07,Chicharrón,1211.41666666666666666663,1295.00,270
2025-09,Asado,290.58333333333333333332,308.00,123
2025-01,Chicharrón,1223.33333333333333333325,1293.00,246
2024-08,Queso,86.00000000000000000000,86.00,48
2024-07,Requesón Picosito,228.83333333333333333333,238.00,94
2023-11,Queso,58.00000000000000000000,58.00,34
2024-11,Huevo con Chorizo,320.25000000000000000000,333.00,123
2025-12,Papa,217.33333333333333333332,224.00,65
2024-02,Deshebrada,1602.91666666666666666664,1675.00,293
2023-12,Huevo Cascabel,473.33333333333333333332,496.00,148
2024-07,Huevo Cascabel,464.16666666666666666666,485.00,138
2025-10,Cochinita,644.08333333333333333331,688.00,203
2026-01,Chicharrón,1092.33333333333333333329,1161.00,245
2023-10,Papa,175.25000000000000000000,178.00,58
2025-03,Nopal,147.50000000000000000000,149.00,53
2024-08,Papa,212.50000000000000000000,215.00,57
2024-06,Huevo Rojo,827.99999999999999999998,868.00,188
2024-01,Cochinita,540.49999999999999999998,564.00,157
2024-08,Nopal,103.50000000000000000000,106.00,49
2024-11,Barbacoa,473.24999999999999999999,488.00,99
2024-04,Barbacoa,362.83333333333333333332,377.00,89
2025-06,Frijoles con Queso,593.74999999999999999999,609.00,108
2024-12,Nopal,120.00000000000000000000,122.00,52
2026-08,Frijoles,129.00000000000000000000,129.00,42
2026-04,Molida,573.69999999999999999996,611.00,187
2026-03,Bistec con Papas,285.69999999999999999997,304.00,124
2025-02,Huevo con Chorizo,239.61666666666666666666,247.00,97
2024-04,Papa con Huevo,170.00000000000000000000,174.00,71
2026-07,Nopal,170.00000000000000000000,175.00,65
2025-10,Papa,220.50000000000000000000,225.00,67
2023-08,Queso,23.00000000000000000000,23.00,11
2026-01,Asado,268.08333333333333333333,281.00,105
2024-08,Huevo con Chorizo,323.99999999999999999998,341.00,145
2025-08,Huevo Rojo,781.41666666666666666663,804.00,156
2024-07,Nopal,119.00000000000000000000,121.00,45
2025-03,Asado,277.99999999999999999999,301.00,124
2025-12,Requesón Picosito,226.58333333333333333332,239.00,98
2025-08,Bistec con Papas,381.03333333333333333331,413.00,147
2026-02,Barbacoa,369.74999999999999999999,382.00,85
2024-02,Papa,191.66666666666666666666,197.00,68
2026-07,Huevo Rojo,786.49999999999999999999,817.00,179
2026-03,Requeson,147.08333333333333333333,151.00,66
2024-11,Papa,214.83333333333333333333,220.00,55
2023-11,Barbacoa,274.49999999999999999999,284.00,67
2024-03,Bistec con Papas,211.56666666666666666666,235.00,119
2025-07,Deshebrada,1820.74999999999999999995,1895.00,332
2026-08,Huevo Cascabel,406.41666666666666666666,417.00,121
2024-01,Papa con Chorizo,389.49999999999999999998,416.00,128
2023-11,Huevo Cascabel,403.33333333333333333333,414.00,107
2023-10,Huevo Cascabel,437.24999999999999999998,452.00,130
2025-11,Asado,329.66666666666666666665,351.00,118
2025-12,Asado,318.49999999999999999998,338.00,123
2023-12,Cochinita,643.24999999999999999999,675.00,182
2024-09,Huevo con Chorizo,318.99999999999999999999,334.00,124
2026-01,Papa con Huevo,281.33333333333333333333,294.00,105
2024-07,Requeson,135.24999999999999999999,142.00,69
2026-09,Huevo Verde,166.25000000000000000000,175.00,40
2026-09,Requesón Picosito,27.58333333333333333332,31.00,19
2025-10,Chicharrón,1041.16666666666666666664,1105.00,232
2024-01,Queso,97.00000000000000000000,97.00,56
2026-03,Chicharrón,1009.69999999999999999994,1079.00,249
2025-01,Huevo Rojo,802.33333333333333333331,833.00,168
2026-04,Papa con Huevo,304.83333333333333333333,315.00,104
2025-04,Barbacoa,437.66666666666666666666,456.00,89
2025-06,Barbacoa,395.58333333333333333332,412.00,89
2025-05,Papa con Chorizo,441.66666666666666666664,469.00,142
2024-01,Pollo con Mole,195.08333333333333333333,200.00,67
2026-05,Deshebrada,1851.74999999999999999994,1952.00,402
2026-01,Papa,135.91666666666666666666,142.00,59
2025-03,Molida,532.24999999999999999994,572.00,169
2023-09,Huevo Cascabel,325.00000000000000000000,334.00,102
2024-07,Huevo Rojo,838.91666666666666666666,875.00,189
2025-08,Huevo con Chorizo,307.99999999999999999999,315.00,120
2023-11,Chicharrón,1061.41666666666666666663,1110.00,197
2025-02,Papa con Huevo,266.16666666666666666666,275.00,83
2025-05,Deshebrada,1861.41666666666666666660,1967.00,365
2026-08,Huevo con Chorizo,316.56666666666666666664,334.00,155
2023-11,Pollo con Mole,208.58333333333333333333,212.00,77
2025-09,Huevo con Nopal,192.33333333333333333333,195.00,69
2025-06,Huevo con Nopal,186.58333333333333333333,188.00,54
2025-03,Requesón Picosito,186.83333333333333333332,198.00,85
2026-04,Asado,327.11666666666666666664,342.00,116
2024-02,Huevo Verde,863.16666666666666666663,905.00,184
2024-08,Molida,648.41666666666666666663,689.00,208
2026-03,Huevo con Nopal,151.50000000000000000000,160.00,69
2025-09,Bistec con Papas,308.49999999999999999999,331.00,128
2023-11,Papa con Huevo,202.00000000000000000000,207.00,72
2025-11,Deshebrada,1882.24999999999999999994,1975.00,365
2026-07,Frijoles con Queso,646.33333333333333333333,675.00,146
2023-10,Frijoles con Queso,395.83333333333333333333,402.00,99
2026-06,Cochinita,602.91666666666666666665,636.00,176
2025-12,Papa con Chorizo,534.74999999999999999998,564.00,157
2023-08,Requesón Picosito,39.00000000000000000000,40.00,21
2024-01,Huevo Rojo,716.69999999999999999999,742.00,161
2026-02,Frijoles,80.00000000000000000000,81.00,30
2024-06,Requeson,103.66666666666666666666,110.00,61
2024-11,Molida,565.74999999999999999997,605.00,174
2023-12,Papa,253.66666666666666666666,258.00,66
2026-06,Barbacoa,573.08333333333333333332,588.00,110
2025-08,Frijoles con Queso,592.58333333333333333333,616.00,116
2024-02,Frijoles con Queso,423.58333333333333333333,426.00,74
2025-10,Molida,526.99999999999999999998,558.00,170
2025-04,Deshebrada,1948.41666666666666666661,2044.00,352
2023-10,Requesón Picosito,131.58333333333333333333,135.00,61
2025-07,Papa con Huevo,305.58333333333333333333,312.00,97
2026-01,Deshebrada,1825.49999999999999999996,1905.00,335
2025-10,Frijoles,72.00000000000000000000,72.00,32
2024-07,Pollo con Mole,336.91666666666666666665,359.00,124
2025-07,Queso,102.00000000000000000000,102.00,48
2025-05,Bistec con Papas,331.74999999999999999998,353.00,123
2023-09,Frijoles con Queso,374.41666666666666666667,386.00,102
2025-09,Cochinita,620.08333333333333333331,656.00,169
2026-06,Huevo Cascabel,395.58333333333333333332,409.00,126
2025-02,Huevo con Nopal,172.00000000000000000000,175.00,63
2024-10,Huevo con Chorizo,297.83333333333333333333,309.00,124
2024-12,Chicharrón,1385.74999999999999999993,1469.00,263
2026-08,Deshebrada,1932.43333333333333333327,2041.00,427
2024-05,Huevo con Chorizo,263.78333333333333333333,276.00,121
2024-11,Papa con Chorizo,432.08333333333333333333,451.00,139
2025-10,Deshebrada,1694.99999999999999999995,1783.00,354
2025-03,Frijoles,64.00000000000000000000,64.00,28
2024-12,Huevo Verde,1353.91666666666666666658,1418.00,241
2026-05,Papa con Chorizo,427.66666666666666666663,455.00,138
2026-02,Pollo con Mole,217.33333333333333333331,231.00,92
2025-05,Huevo con Nopal,203.00000000000000000000,207.00,73
2024-05,Bistec con Papas,305.91666666666666666664,337.00,135
2025-07,Huevo con Nopal,190.83333333333333333332,197.00,78
2025-05,Huevo Rojo,822.91666666666666666666,846.00,154
2026-01,Cochinita,578.83333333333333333331,614.00,182
2023-09,Huevo con Chorizo,209.75000000000000000000,221.00,96
2026-02,Huevo con Nopal,145.83333333333333333333,154.00,63
2025-11,Bistec con Papas,314.58333333333333333331,341.00,134
2023-12,Bistec con Papas,277.33333333333333333333,288.00,113
2025-10,Huevo Rojo,685.16666666666666666665,709.00,160
2026-02,Frijoles con Queso,506.33333333333333333333,518.00,105
2023-09,Pollo con Mole,179.66666666666666666667,185.00,73
2025-06,Huevo Verde,1337.33333333333333333329,1394.00,229
2024-03,Frijoles,95.50000000000000000000,98.00,39
2024-11,Requeson,135.08333333333333333332,143.00,70
2024-05,Papa,172.75000000000000000000,178.00,65
2024-03,Pollo con Mole,166.66666666666666666666,175.00,73
2025-09,Pollo con Mole,289.83333333333333333333,298.00,90
2024-03,Requeson,113.25000000000000000000,121.00,59
2023-08,Frijoles,21.50000000000000000000,22.00,9
2023-11,Requeson,120.83333333333333333333,125.00,61
2023-11,Papa con Chorizo,407.24999999999999999998,426.00,126
2026-09,Deshebrada,223.74999999999999999998,239.00,64
2024-09,Barbacoa,516.24999999999999999999,537.00,110
2025-11,Huevo con Chorizo,298.75000000000000000000,309.00,112
2023-10,Asado,320.41666666666666666666,339.00,123
2023-12,Frijoles con Queso,633.83333333333333333333,643.00,108
2025-07,Frijoles,90.00000000000000000000,91.00,31
2025-05,Huevo Verde,1203.91666666666666666664,1257.00,226
2026-08,Queso,99.50000000000000000000,100.00,54
2026-07,Barbacoa,584.03333333333333333333,611.00,136
2026-08,Papa con Huevo,309.44999999999999999999,325.00,123
2026-03,Huevo Verde,1166.28333333333333333327,1234.00,282
2024-07,Molida,683.99999999999999999997,734.00,208
2025-12,Frijoles,96.00000000000000000000,96.00,39
2024-07,Huevo Verde,1173.24999999999999999998,1246.00,276
2024-12,Deshebrada,1958.74999999999999999992,2061.00,352
2026-09,Cochinita,76.91666666666666666666,84.00,31
2025-12,Cochinita,787.66666666666666666664,823.00,192
2024-12,Cochinita,791.99999999999999999996,840.00,213
2023-09,Frijoles,82.00000000000000000000,82.00,26
2024-10,Nopal,147.00000000000000000000,147.00,54
2023-09,Nopal,85.00000000000000000000,86.00,37
2025-12,Molida,608.24999999999999999997,647.00,178
2023-08,Huevo Verde,304.08333333333333333333,315.00,64
2026-06,Huevo con Chorizo,298.16666666666666666666,312.00,131
2026-05,Papa,261.83333333333333333333,268.00,69
2024-03,Queso,63.50000000000000000000,65.00,40
2024-04,Chicharrón,917.83333333333333333330,979.00,218
2024-04,Huevo Cascabel,394.99999999999999999999,414.00,108
2025-04,Papa con Huevo,362.83333333333333333333,369.00,94
