fecha,tipo,modificador,veces,renglones,unidades_afectadas
2026-03-07,VARIANTE,Escuis Manzana,1,1,2.00
2026-03-07,VARIANTE,Escuis Piña,1,1,2.00
2026-03-07,VARIANTE,Fanta,1,1,1.00
2026-03-07,VARIANTE,Leche Aparte,1,1,2.00
2026-03-07,VARIANTE,Lechera,1,1,1.00
2026-03-07,VARIANTE,Lechero,1,1,2.00
2026-03-07,VARIANTE,Mantequilla,1,1,6.00
2026-03-07,VARIANTE,Normal,2,2,61.00
2026-03-07,VARIANTE,Pan Grande Pieza,1,1,3.00
2026-03-07,VARIANTE,Poca leche,1,1,1.00
2026-03-08,EXTRA,Bistec (1 pza.),5,5,6.00
2026-03-08,EXTRA,Huevo Estrellado Cocido (2 pzas.),2,2,2.00
2026-03-08,EXTRA,Huevo Estrellado Tierno (2 pzas.),3,3,3.00
2026-03-08,EXTRA,Huevo Revuelto (p/relleno),3,3,3.00
2026-03-08,EXTRA,Queso,9,5,6.00
2026-03-08,EXTRA,Queso Extra Pieza,2,1,1.00
2026-03-08,EXTRA,Relleno de Guisados,4,4,4.00
2026-03-08,PETICION,Doradita,2,2,3.00
2026-03-08,PETICION,En dos platos,1,1,1.00
2026-03-08,PETICION,Escurrida,1,1,1.00
2026-03-08,PETICION,Poca Lechuga,3,3,3.00
2026-03-08,PETICION,Sin Aguacate,3,3,3.00
2026-03-08,PETICION,Sin Crema,10,10,11.00
2026-03-08,PETICION,Sin Frijoles,1,1,1.00
2026-03-08,PETICION,Sin Lechuga,2,2,2.00
2026-03-08,PETICION,Sin Queso,2,2,2.00
2026-03-08,PETICION,Sin Tomate,5,5,5.00
2026-03-08,PETICION,Sin Verduras,1,1,1.00
2026-03-08,PETICION,Verdura Aparte,1,1,1.00
2026-03-08,VARIANTE,Coca Cola,2,2,13.00
2026-03-08,VARIANTE,Coca Cola Sin Azúcar,1,1,6.00
2026-03-08,VARIANTE,Coca Light,1,1,3.00
2026-03-08,VARIANTE,Leche Aparte,1,1,1.00
2026-03-08,VARIANTE,Lechero,1,1,1.00
2026-03-08,VARIANTE,Mantequilla,1,1,4.00
2026-03-08,VARIANTE,Migada Delgada,1,1,1.00
2026-03-08,VARIANTE,Naturales,1,1,1.00
2026-03-08,VARIANTE,Normal,2,2,51.00
2026-03-08,VARIANTE,Pan Grande Pieza,1,1,8.00
2026-03-09,EXTRA,Bistec (1 pza.),3,3,3.00
2026-03-09,EXTRA,Doble Guiso,5,5,8.00
2026-03-09,EXTRA,Frijoles,1,1,1.00
2026-03-09,EXTRA,Huevo Estrellado Ciego (2 pzas.),1,1,1.00
2026-03-09,EXTRA,Huevo Estrellado Cocido (2 pzas.),1,1,1.00
2026-03-09,EXTRA,Huevo Revuelto (2 pzas.),1,1,1.00
2026-03-09,EXTRA,Queso,3,2,2.00
2026-03-09,EXTRA,Relleno de Guisados,3,3,3.00
2026-03-09,PETICION,Doradita,1,1,1.00
2026-03-09,PETICION,Poca Lechuga,2,2,2.00
2026-03-09,PETICION,Sin Aguacate,1,1,1.00
2026-03-09,PETICION,Sin Crema,4,4,4.00
2026-03-09,PETICION,Sin Lechuga,1,1,1.00
2026-03-09,PETICION,Sin Tomate,1,1,1.00
2026-03-09,PETICION,Sin Verduras,1,1,1.00
2026-03-09,PETICION,Verdura Aparte,1,1,1.00
2026-03-09,VARIANTE,Coca Cola,2,2,10.00
2026-03-09,VARIANTE,Coca Cola Sin Azúcar,1,1,7.00
2026-03-09,VARIANTE,Escuis Piña,1,1,1.00
2026-03-09,VARIANTE,Lechero,1,1,2.00
2026-03-09,VARIANTE,Mantequilla,1,1,10.00
2026-03-09,VARIANTE,Medio,1,1,1.00
2026-03-09,VARIANTE,Natural,1,1,2.00
2026-03-09,VARIANTE,Naturales,1,1,1.00
2026-03-09,VARIANTE,Normal,2,2,61.00
2026-03-09,VARIANTE,Pan Grande Pieza,1,1,1.00
2026-03-09,VARIANTE,Sprite,1,1,1.00
2026-03-10,EXTRA,Bistec (1 pza.),1,1,1.00
2026-03-10,EXTRA,Frijoles,1,1,1.00
2026-03-10,EXTRA,Huevo Estrellado Medio (2 pzas.),1,1,1.00
2026-03-10,EXTRA,Huevo Revuelto (2 pzas.),1,1,1.00
2026-03-10,EXTRA,Queso,5,3,4.00
2026-03-10,EXTRA,Relleno de Guisados,2,2,2.00
2026-03-10,PETICION,Doradita,2,2,3.00
2026-03-10,PETICION,Escurrida,2,2,11.00
2026-03-10,PETICION,Sin Aguacate,1,1,1.00
2026-03-10,PETICION,Sin Crema,3,3,3.00
2026-03-10,PETICION,Sin Lechuga,4,4,4.00
2026-03-10,PETICION,Sin Queso,1,1,1.00
2026-03-10,PETICION,Sin Tomate,2,2,2.00
2026-03-10,PETICION,Sin Verduras,2,2,2.00
2026-03-10,VARIANTE,Coca Cola,2,2,4.00
2026-03-10,VARIANTE,Coca Cola Sin Azúcar,1,1,4.00
2026-03-10,VARIANTE,Leche Aparte,1,1,1.00
2026-03-10,VARIANTE,Mantequilla,1,1,1.00
2026-03-10,VARIANTE,Migada Delgada,1,1,1.00
2026-03-10,VARIANTE,Natural,1,1,1.00
2026-03-10,VARIANTE,Normal,2,2,33.00
2026-03-10,VARIANTE,Poca leche,1,1,2.00
2026-03-11,EXTRA,Bistec (1 pza.),3,3,4.00
2026-03-11,EXTRA,Huevo Estrellado Medio (2 pzas.),2,2,2.00
2026-03-11,EXTRA,Huevo Estrellado Tierno (2 pzas.),2,2,2.00
2026-03-11,EXTRA,Huevo Revuelto (2 pzas.),4,4,4.00
2026-03-11,EXTRA,Huevo Revuelto (p/relleno),1,1,1.00
2026-03-11,EXTRA,Queso,5,4,4.00
2026-03-11,EXTRA,Queso Extra Pieza,4,1,1.00
2026-03-11,EXTRA,Relleno de Guisados,3,3,3.00
2026-03-11,PETICION,En dos platos,4,4,4.00
2026-03-11,PETICION,Escurrida,2,2,6.00
2026-03-11,PETICION,Sin Aguacate,2,2,2.00
2026-03-11,PETICION,Sin Crema,1,1,1.00
2026-03-11,PETICION,Sin Tomate,1,1,1.00
2026-03-11,PETICION,Sin Verduras,1,1,1.00
2026-03-11,VARIANTE,Coca Cola,2,2,10.00
