fecha,extra,producto,porciones,pedidos,unidades,es_segundo_guiso,grupo,agrupado,real
2024-12-08,Huevo Revuelto (2 pzas.),Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-08,Huevo Revuelto (p/relleno),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-08,Huevo Revuelto (p/relleno),Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-08,Queso Extra Pieza,Empanadas (4 pzas.),12,3,3.0,f,,Queso Extra Pieza,t
2024-12-08,Relleno de Guisados,1/2 Enchiladas Rojas,2,2,2.0,f,,Relleno de Guisados,t
2024-12-08,Relleno de Guisados,Enchiladas Rojas,1,1,1.0,f,,Relleno de Guisados,t
2024-12-08,Relleno de Guisados,Encremadas,1,1,1.0,f,,Relleno de Guisados,t
2024-12-08,Relleno de Guisados,Enfrijoladas,1,1,1.0,f,,Relleno de Guisados,t
2024-12-08,Relleno de Guisados,Enmoladas,1,1,1.0,f,,Relleno de Guisados,t
2024-12-09,Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),1,1,1.0,f,,Bistec (1 pza.),t
2024-12-09,Bistec (1 pza.),1/2 Enchiladas Picositas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-09,Bistec (1 pza.),1/2 Entomatadas,1,1,2.0,f,,Bistec (1 pza.),t
2024-12-09,Bistec (1 pza.),Enchiladas Mixtas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-09,Doble Guiso,Bocoles,1,1,1.0,f,,Doble Guiso,t
2024-12-09,Huevo Estrellado Cocido (2 pzas.),Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-09,Huevo Estrellado Tierno (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-09,Huevo Estrellado Tierno (2 pzas.),Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-09,Huevo Estrellado Tierno (2 pzas.),Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-09,Huevo Revuelto (2 pzas.),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-09,Huevo Revuelto (p/relleno),1/2 Enchiladas Mixtas (4 Piezas),1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-09,Huevo Revuelto (p/relleno),1/2 Enmoladas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-09,Relleno de Guisados,Entomatadas,1,1,1.0,f,,Relleno de Guisados,t
2024-12-10,Bistec (1 pza.),1/2 Enchiladas Picositas,1,1,2.0,f,,Bistec (1 pza.),t
2024-12-10,Bistec (1 pza.),1/2 Enchiladas Rojas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-10,Bistec (1 pza.),1/2 Entomatadas,1,1,3.0,f,,Bistec (1 pza.),t
2024-12-10,Bistec (1 pza.),Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-10,Frijoles,Gorditas,1,1,1.0,f,,Frijoles,t
2024-12-10,Huevo Estrellado Cocido (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-10,Huevo Estrellado Tierno (2 pzas.),Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-10,Huevo Revuelto (2 pzas.),1/2 Enmoladas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-10,Huevo Revuelto (2 pzas.),Entomatadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-10,Queso,Empanadas (4 pzas.),1,1,1.0,f,,Queso,f
2024-12-10,Queso Extra Pieza,Empanadas (4 pzas.),4,1,1.0,f,,Queso Extra Pieza,t
2024-12-10,Relleno de Guisados,1/2 Enmoladas,1,1,1.0,f,,Relleno de Guisados,t
2024-12-11,Bistec (1 pza.),1/2 Enmoladas,1,1,2.0,f,,Bistec (1 pza.),t
2024-12-11,Bistec (1 pza.),Enchiladas Rojas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-11,Bistec (1 pza.),Enmoladas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-11,Frijoles con Queso (guiso extra),Bocoles,2,2,6.0,t,,Frijoles con Queso (guiso extra),t
